name,url,create_time,spider_time,title,time,release_date,intro,genres,directors,writers,stars,actors
Cronos (1992),https://www.imdb.com/title/tt0104029/?ref_=fn_al_tt_1,2023-03-13 17:08:07.327103,2023-03-14 07:13:20.160657,Cronos,1 hour 34 minutes,May 1994 ,,Drama|Fantasy|Horror,Guillermo del Toro,Guillermo del Toro|Guillermo del Toro|Guillermo del Toro,,Federico Luppi|Ron Perlman|Claudio Brook|Federico Luppi|Ron Perlman|Claudio Brook|Federico Luppi|Ron Perlman|Claudio Brook|Federico Luppi|Ron Perlman|Claudio Brook
Naked in New York (1994),https://www.imdb.com/title/tt0110623/?ref_=fn_al_tt_1,2023-03-13 17:08:09.646977,2023-03-14 07:13:26.687989,Naked in New York,1 hour 35 minutes,"April 13, 1994 ",,Comedy|Romance,Daniel Algrant,Daniel Algrant|John Warren|Daniel Algrant|John Warren|Daniel Algrant|John Warren|Daniel Algrant|John Warren|Daniel Algrant|John Warren|Daniel Algrant|John Warren,,Eric Stoltz|Mary-Louise Parker|Ralph Macchio|Eric Stoltz|Mary-Louise Parker|Ralph Macchio|Eric Stoltz|Mary-Louise Parker|Ralph Macchio|Eric Stoltz|Mary-Louise Parker|Ralph Macchio
"Wedding Gift, The (1994)",https://www.imdb.com/title/tt10302982/?ref_=fn_al_tt_1,2023-03-13 17:08:24.731747,2023-03-14 07:13:33.745028,JL Family Ranch 2,1 hour 23 minutes,"February 4, 2021 ",,Family|Western,Sean McNamara,Steven Paul|Mark Hefti|Harley Peyton|Steven Paul|Mark Hefti|Harley Peyton|Steven Paul|Mark Hefti|Harley Peyton|Steven Paul|Mark Hefti|Harley Peyton|Steven Paul|Mark Hefti|Harley Peyton|Steven Paul|Mark Hefti|Harley Peyton,,Jon Voight|James Caan|Teri Polo|Jon Voight|James Caan|Teri Polo|Jon Voight|James Caan|Teri Polo|Jon Voight|James Caan|Teri Polo
Foreign Student (1994),https://www.imdb.com/title/tt0109828/?ref_=fn_al_tt_1,2023-03-13 17:08:26.981673,2023-03-14 07:13:40.068040,Foreign Student,1 hour 30 minutes,"July 29, 1994 ",,Drama,Eva Sereny,Philippe Labro|Menno Meyjes|Philippe Labro|Menno Meyjes|Philippe Labro|Menno Meyjes|Philippe Labro|Menno Meyjes|Philippe Labro|Menno Meyjes|Philippe Labro|Menno Meyjes,,Robin Givens|Marco Hofschneider|Rick Johnson|Robin Givens|Marco Hofschneider|Rick Johnson|Robin Givens|Marco Hofschneider|Rick Johnson|Robin Givens|Marco Hofschneider|Rick Johnson
"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",https://www.imdb.com/title/tt0107225/?ref_=fn_al_tt_1,2023-03-13 17:08:29.299248,2023-03-14 07:13:46.680585,"Ciao, Professore!",1 hour 40 minutes,"July 15, 1994 ",,Comedy,Lina Wertmüller,Alessandro Bencivenni|Leonardo Benvenuti|Marcello D'Orta|Alessandro Bencivenni|Leonardo Benvenuti|Marcello D'Orta|Alessandro Bencivenni|Leonardo Benvenuti|Marcello D'Orta|Alessandro Bencivenni|Leonardo Benvenuti|Marcello D'Orta|Alessandro Bencivenni|Leonardo Benvenuti|Marcello D'Orta|Alessandro Bencivenni|Leonardo Benvenuti|Marcello D'Orta,,Paolo Villaggio|Isa Danieli|Gigio Morra|Paolo Villaggio|Isa Danieli|Gigio Morra|Paolo Villaggio|Isa Danieli|Gigio Morra|Paolo Villaggio|Isa Danieli|Gigio Morra
Fausto (1993),https://www.imdb.com/title/tt0106878/?ref_=fn_al_tt_1,2023-03-13 17:08:31.545286,2023-03-14 07:13:53.102666,À la mode,1 hour 22 minutes,"August 12, 1994 ",,Comedy,Rémy Duchemin,Richard Morgiève|Rémy Duchemin|Richard Morgiève|Rémy Duchemin|Richard Morgiève|Rémy Duchemin|Richard Morgiève|Rémy Duchemin|Richard Morgiève|Rémy Duchemin|Richard Morgiève|Rémy Duchemin,,Kên Higelin|Jean Yanne|Florence Darel|Kên Higelin|Jean Yanne|Florence Darel|Kên Higelin|Jean Yanne|Florence Darel|Kên Higelin|Jean Yanne|Florence Darel
"Hour of the Pig, The (1993)",https://www.imdb.com/title/tt0107146/?ref_=fn_al_tt_1,2023-03-13 17:08:33.842998,2023-03-14 07:13:59.488456,The Advocate,1 hour 42 minutes,"August 24, 1994 ",,Crime|Drama|Mystery,Leslie Megahey,Leslie Megahey|Leslie Megahey|Leslie Megahey,,Colin Firth|Amina Annabi|Jim Carter|Colin Firth|Amina Annabi|Jim Carter|Colin Firth|Amina Annabi|Jim Carter|Colin Firth|Amina Annabi|Jim Carter
"Scorta, La (1993)",https://www.imdb.com/title/tt0108059/?ref_=fn_al_tt_1,2023-03-13 17:08:36.089386,2023-03-14 07:14:05.970149,La scorta,1 hour 36 minutes,"July 8, 1994 ",,Action|Crime|Drama,Ricky Tognazzi,Graziano Diana|Simona Izzo|Stefano Sudriè|Graziano Diana|Simona Izzo|Stefano Sudriè|Graziano Diana|Simona Izzo|Stefano Sudriè|Graziano Diana|Simona Izzo|Stefano Sudriè|Graziano Diana|Simona Izzo|Stefano Sudriè|Graziano Diana|Simona Izzo|Stefano Sudriè,,Carlo Cecchi|Enrico Lo Verso|Claudio Amendola|Carlo Cecchi|Enrico Lo Verso|Claudio Amendola|Carlo Cecchi|Enrico Lo Verso|Claudio Amendola|Carlo Cecchi|Enrico Lo Verso|Claudio Amendola
Metisse (Café au Lait) (1993),https://www.imdb.com/title/tt0107642/?ref_=fn_al_tt_1,2023-03-13 17:08:38.374740,2023-03-14 07:14:12.475672,Café au lait,1 hour 34 minutes,December 1994 ,,Comedy|Romance,Mathieu Kassovitz,Mathieu Kassovitz|Mathieu Kassovitz|Mathieu Kassovitz,,Julie Mauduech|Hubert Koundé|Mathieu Kassovitz|Julie Mauduech|Hubert Koundé|Mathieu Kassovitz|Julie Mauduech|Hubert Koundé|Mathieu Kassovitz|Julie Mauduech|Hubert Koundé|Mathieu Kassovitz
Dear Diary (Caro Diario) (1994),https://www.imdb.com/title/tt14156920/?ref_=fn_al_tt_1,2023-03-13 17:08:40.673064,2023-03-14 07:14:18.453882,Caro Diario (Dear Diary),15 minutes,"November 8, 2020 ",,Short|Comedy|Mystery,Sebastiano Rizzo,Di Blasio Piero|Di Blasio Piero|Di Blasio Piero,,Giulietta Rebeggiani|Riccardo Antonaci|Giulietta Rebeggiani|Riccardo Antonaci|Giulietta Rebeggiani|Riccardo Antonaci|Giulietta Rebeggiani|Riccardo Antonaci
Tough and Deadly (1995),https://www.imdb.com/title/tt0114706/?ref_=fn_al_tt_1,2023-03-13 17:08:57.363828,2023-03-14 07:14:24.567819,Tough and Deadly,1 hour 32 minutes,"February 14, 1995 ",,Action|Drama|Thriller,Steve Cohen,Steve Cohen|Otto C. Pozzo|Steve Cohen|Otto C. Pozzo|Steve Cohen|Otto C. Pozzo|Steve Cohen|Otto C. Pozzo|Steve Cohen|Otto C. Pozzo|Steve Cohen|Otto C. Pozzo,,Billy Blanks|Roddy Piper|Richard Norton|Billy Blanks|Roddy Piper|Richard Norton|Billy Blanks|Roddy Piper|Richard Norton|Billy Blanks|Roddy Piper|Richard Norton
Window to Paris (1994),https://www.imdb.com/title/tt0110719/?ref_=fn_al_tt_1,2023-03-13 17:08:59.650182,2023-03-14 07:14:31.426516,Window to Paris,1 hour 55 minutes,"February 17, 1995 ",,Comedy|Drama|Fantasy,Yuri Mamin|Arkadiy Tigay,Vyacheslav Leykin|Yuri Mamin|Feliks Mironer|Vyacheslav Leykin|Yuri Mamin|Feliks Mironer|Vyacheslav Leykin|Yuri Mamin|Feliks Mironer|Vyacheslav Leykin|Yuri Mamin|Feliks Mironer|Vyacheslav Leykin|Yuri Mamin|Feliks Mironer|Vyacheslav Leykin|Yuri Mamin|Feliks Mironer,,Sergey Dreyden|Agnès Soral|Viktor Mikhailov|Sergey Dreyden|Agnès Soral|Viktor Mikhailov|Sergey Dreyden|Agnès Soral|Viktor Mikhailov|Sergey Dreyden|Agnès Soral|Viktor Mikhailov
"Wooden Man's Bride, The (Wu Kui) (1994)",https://www.imdb.com/title/tt0111752/?ref_=fn_al_tt_1,2023-03-13 17:09:01.936452,2023-03-14 07:14:37.900990,The Wooden Man's Bride,1 hour 53 minutes,"February 10, 1995 ",,Drama|Romance,Jianxin Huang,Zhengguang Yang|Jia Pingau|Zhengguang Yang|Jia Pingau|Zhengguang Yang|Jia Pingau|Zhengguang Yang|Jia Pingau|Zhengguang Yang|Jia Pingau|Zhengguang Yang|Jia Pingau,,Shih Chang|Lan Wang|Yumei Wang|Shih Chang|Lan Wang|Yumei Wang|Shih Chang|Lan Wang|Yumei Wang|Shih Chang|Lan Wang|Yumei Wang
Criminals (1996),https://www.imdb.com/title/tt0211134/?ref_=fn_al_tt_1,2023-03-13 17:09:06.474865,2023-03-14 07:14:44.566846,America's Dumbest Criminals,,1996 ,,Crime|News|Reality-TV,,,,Daniel Butler|Debbie Alan|Beaumont Bacon|Daniel Butler|Debbie Alan|Beaumont Bacon|Daniel Butler|Debbie Alan|Beaumont Bacon|Daniel Butler|Debbie Alan|Beaumont Bacon
Century (1993),https://www.imdb.com/title/tt0106537/?ref_=fn_al_tt_1,2023-03-13 17:09:08.718375,2023-03-14 07:14:50.904894,Century,1 hour 52 minutes,"December 31, 1993 ",,Drama|Romance,Stephen Poliakoff,Stephen Poliakoff|Stephen Poliakoff|Stephen Poliakoff,,Charles Dance|Clive Owen|Miranda Richardson|Charles Dance|Clive Owen|Miranda Richardson|Charles Dance|Clive Owen|Miranda Richardson|Charles Dance|Clive Owen|Miranda Richardson
Loaded (1994),https://www.imdb.com/title/tt0110374/?ref_=fn_al_tt_1,2023-03-13 17:09:10.964526,2023-03-14 07:14:56.881670,Loaded,1 hour 36 minutes,"April 12, 1996 ",,Drama|Thriller|Mystery,Anna Campion,Anna Campion|Anna Campion|Anna Campion,,Oliver Milburn|Dearbhla Molloy|Danny Cunningham|Oliver Milburn|Dearbhla Molloy|Danny Cunningham|Oliver Milburn|Dearbhla Molloy|Danny Cunningham|Oliver Milburn|Dearbhla Molloy|Danny Cunningham
"Aristocats, The (1970)",https://www.imdb.com/title/tt0065421/?ref_=fn_al_tt_1,2023-03-13 17:09:26.039334,2023-03-14 07:15:03.367724,The Aristocats,1 hour 18 minutes,"December 24, 1970 ",,Animation|Adventure|Comedy,Wolfgang Reitherman,Larry Clemmons|Vance Gerry|Ken Anderson|Larry Clemmons|Vance Gerry|Ken Anderson|Larry Clemmons|Vance Gerry|Ken Anderson|Larry Clemmons|Vance Gerry|Ken Anderson|Larry Clemmons|Vance Gerry|Ken Anderson|Larry Clemmons|Vance Gerry|Ken Anderson,,Phil Harris|Eva Gabor|Sterling Holloway|Phil Harris|Eva Gabor|Sterling Holloway|Phil Harris|Eva Gabor|Sterling Holloway|Phil Harris|Eva Gabor|Sterling Holloway
Two Much (1996),https://www.imdb.com/title/tt0118001/?ref_=fn_al_tt_1,2023-03-13 17:09:41.093585,2023-03-14 07:15:10.652510,Two Much,1 hour 58 minutes,"March 15, 1996 ",,Comedy|Romance,Fernando Trueba,Donald E. Westlake|Fernando Trueba|David Trueba|Donald E. Westlake|Fernando Trueba|David Trueba|Donald E. Westlake|Fernando Trueba|David Trueba|Donald E. Westlake|Fernando Trueba|David Trueba|Donald E. Westlake|Fernando Trueba|David Trueba|Donald E. Westlake|Fernando Trueba|David Trueba,,Antonio Banderas|Melanie Griffith|Daryl Hannah|Antonio Banderas|Melanie Griffith|Daryl Hannah|Antonio Banderas|Melanie Griffith|Daryl Hannah|Antonio Banderas|Melanie Griffith|Daryl Hannah
Scream of Stone (Schrei aus Stein) (1991),https://www.imdb.com/title/tt0102855/?ref_=fn_al_tt_1,2023-03-13 17:09:43.391145,2023-03-14 07:15:17.292283,Scream of Stone,1 hour 45 minutes,"October 3, 1991 ",,Drama,Werner Herzog,Hans-Ulrich Klenner|Walter Saxer|Robert Geoffrion|Hans-Ulrich Klenner|Walter Saxer|Robert Geoffrion|Hans-Ulrich Klenner|Walter Saxer|Robert Geoffrion|Hans-Ulrich Klenner|Walter Saxer|Robert Geoffrion|Hans-Ulrich Klenner|Walter Saxer|Robert Geoffrion|Hans-Ulrich Klenner|Walter Saxer|Robert Geoffrion,,Vittorio Mezzogiorno|Stefan Glowacz|Mathilda May|Vittorio Mezzogiorno|Stefan Glowacz|Mathilda May|Vittorio Mezzogiorno|Stefan Glowacz|Mathilda May|Vittorio Mezzogiorno|Stefan Glowacz|Mathilda May
My Favorite Season (1993),https://www.imdb.com/title/tt0107471/?ref_=fn_al_tt_1,2023-03-13 17:09:45.661613,2023-03-14 07:15:23.376423,Ma saison préférée,2 hours 7 minutes,"April 19, 1996 ",,Drama|Romance,André Téchiné,Pascal Bonitzer|André Téchiné|Pascal Bonitzer|André Téchiné|Pascal Bonitzer|André Téchiné|Pascal Bonitzer|André Téchiné|Pascal Bonitzer|André Téchiné|Pascal Bonitzer|André Téchiné,,Catherine Deneuve|Daniel Auteuil|Marthe Villalonga|Catherine Deneuve|Daniel Auteuil|Marthe Villalonga|Catherine Deneuve|Daniel Auteuil|Marthe Villalonga|Catherine Deneuve|Daniel Auteuil|Marthe Villalonga
"Modern Affair, A (1995)",https://www.imdb.com/title/tt0113839/?ref_=fn_al_tt_1,2023-03-13 17:09:47.940406,2023-03-14 07:15:29.485406,A Modern Affair,1 hour 30 minutes,"September 6, 1996 ",,Comedy|Drama|Romance,Vern Oakley,Vern Oakley|Paul Zimmerman|Vern Oakley|Paul Zimmerman|Vern Oakley|Paul Zimmerman|Vern Oakley|Paul Zimmerman|Vern Oakley|Paul Zimmerman|Vern Oakley|Paul Zimmerman,,Lisa Eichhorn|Caroline Aaron|Robert LuPone|Lisa Eichhorn|Caroline Aaron|Robert LuPone|Lisa Eichhorn|Caroline Aaron|Robert LuPone|Lisa Eichhorn|Caroline Aaron|Robert LuPone
Condition Red (1995),https://www.imdb.com/title/tt0112712/?ref_=fn_al_tt_1,2023-03-13 17:09:50.228347,2023-03-14 07:15:36.109517,Condition Red,1 hour 23 minutes,"December 8, 1995 ",,Action|Drama|Thriller,Mika Kaurismäki,Andre Degas|Andre Degas|Andre Degas,,James Russo|Cynda Williams|Paul Calderon|James Russo|Cynda Williams|Paul Calderon|James Russo|Cynda Williams|Paul Calderon|James Russo|Cynda Williams|Paul Calderon
Asfour Stah (1990),https://www.imdb.com/title/tt0090665/?ref_=fn_al_tt_1,2023-03-13 17:09:52.506109,2023-03-14 07:15:42.537137,Halfaouine: Boy of the Terraces,1 hour 38 minutes,1990 ,,Drama|Comedy,Férid Boughedir,Férid Boughedir|Nouri Bouzid|Taoufik Jebali|Férid Boughedir|Nouri Bouzid|Taoufik Jebali|Férid Boughedir|Nouri Bouzid|Taoufik Jebali|Férid Boughedir|Nouri Bouzid|Taoufik Jebali|Férid Boughedir|Nouri Bouzid|Taoufik Jebali|Férid Boughedir|Nouri Bouzid|Taoufik Jebali,,Selim Boughedir|Mustapha Adouani|Rabiah Ben-Abdullah|Selim Boughedir|Mustapha Adouani|Rabiah Ben-Abdullah|Selim Boughedir|Mustapha Adouani|Rabiah Ben-Abdullah|Selim Boughedir|Mustapha Adouani|Rabiah Ben-Abdullah
Rude (1995),https://www.imdb.com/title/tt0114305/?ref_=fn_al_tt_1,2023-03-13 17:09:54.769257,2023-03-14 07:15:48.970181,Rude,1 hour 29 minutes,"April 12, 1996 ",,Crime|Drama,Clement Virgo,Clement Virgo|Clement Virgo|Clement Virgo,,Maurice Dean Wint|Rachael Crawford|Clark Johnson|Maurice Dean Wint|Rachael Crawford|Clark Johnson|Maurice Dean Wint|Rachael Crawford|Clark Johnson|Maurice Dean Wint|Rachael Crawford|Clark Johnson
Carried Away (1996),https://www.imdb.com/title/tt0115837/?ref_=fn_al_tt_1,2023-03-13 17:09:57.585227,2023-03-14 07:15:55.655903,Carried Away,1 hour 49 minutes,"May 31, 1996 ",,Drama|Romance,Bruno Barreto,Jim Harrison|Ed Jones|Jim Harrison|Ed Jones|Jim Harrison|Ed Jones|Jim Harrison|Ed Jones|Jim Harrison|Ed Jones|Jim Harrison|Ed Jones,,Dennis Hopper|Amy Irving|Amy Locane|Dennis Hopper|Amy Irving|Amy Locane|Dennis Hopper|Amy Irving|Amy Locane|Dennis Hopper|Amy Irving|Amy Locane
Land and Freedom (Tierra y libertad) (1995),https://www.imdb.com/title/tt0114671/?ref_=fn_al_tt_1,2023-03-13 17:09:59.894726,2023-03-14 07:16:02.418496,Land and Freedom,1 hour 49 minutes,"March 22, 1996 ",,Drama|War,Ken Loach,Jim Allen|Jim Allen|Jim Allen,,Ian Hart|Rosana Pastor|Icíar Bollaín|Ian Hart|Rosana Pastor|Icíar Bollaín|Ian Hart|Rosana Pastor|Icíar Bollaín|Ian Hart|Rosana Pastor|Icíar Bollaín
Jack and Sarah (1995),https://www.imdb.com/title/tt0113448/?ref_=fn_al_tt_1,2023-03-13 17:10:02.211540,2023-03-14 07:16:08.998995,Jack & Sarah,1 hour 50 minutes,"March 22, 1996 ",,Comedy|Drama|Romance,Tim Sullivan,Tim Sullivan|Tim Sullivan|Tim Sullivan,,Richard E. Grant|Samantha Mathis|Judi Dench|Richard E. Grant|Samantha Mathis|Judi Dench|Richard E. Grant|Samantha Mathis|Judi Dench|Richard E. Grant|Samantha Mathis|Judi Dench
Roula (1995),https://www.imdb.com/title/tt0117517/?ref_=fn_al_tt_1,2023-03-13 17:10:17.356304,2023-03-14 07:16:15.077316,Roula,1 hour 37 minutes,"March 21, 1996 ",,Drama,Martin Enlen,Martin Enlen|Bernd Mollenhauer|Martin Enlen|Bernd Mollenhauer|Martin Enlen|Bernd Mollenhauer|Martin Enlen|Bernd Mollenhauer|Martin Enlen|Bernd Mollenhauer|Martin Enlen|Bernd Mollenhauer,,Anica Dobra|Felicitas Grimm-Luck|Martin Umbach|Anica Dobra|Felicitas Grimm-Luck|Martin Umbach|Anica Dobra|Felicitas Grimm-Luck|Martin Umbach|Anica Dobra|Felicitas Grimm-Luck|Martin Umbach
Peanuts - Die Bank zahlt alles (1996),https://www.imdb.com/title/tt0117312/?ref_=fn_al_tt_1,2023-03-13 17:10:19.670348,2023-03-14 07:16:21.798460,Peanuts - Die Bank zahlt alles,1 hour 35 minutes,"March 21, 1996 ",,Comedy,Carlo Rola,Eberhard Junkersdorf|Peter Zingler|Eberhard Junkersdorf|Peter Zingler|Eberhard Junkersdorf|Peter Zingler|Eberhard Junkersdorf|Peter Zingler|Eberhard Junkersdorf|Peter Zingler|Eberhard Junkersdorf|Peter Zingler,,Ulrich Mühe|Iris Berben|Marita Marschall|Ulrich Mühe|Iris Berben|Marita Marschall|Ulrich Mühe|Iris Berben|Marita Marschall|Ulrich Mühe|Iris Berben|Marita Marschall
Happy Weekend (1996),https://www.imdb.com/title/tt0116485/?ref_=fn_al_tt_1,2023-03-13 17:10:21.932652,2023-03-14 07:16:27.968029,Happy Weekend,1 hour 26 minutes,"March 14, 1996 ",,Comedy,Ed Herzog,Ed Herzog|Rainer Knepperges|Ed Herzog|Rainer Knepperges|Ed Herzog|Rainer Knepperges|Ed Herzog|Rainer Knepperges|Ed Herzog|Rainer Knepperges|Ed Herzog|Rainer Knepperges,,Erik Goertz|Anton Rattinger|Dieter Wardetzky|Erik Goertz|Anton Rattinger|Dieter Wardetzky|Erik Goertz|Anton Rattinger|Dieter Wardetzky|Erik Goertz|Anton Rattinger|Dieter Wardetzky
"Superweib, Das (1996)",https://www.imdb.com/title/tt0117788/?ref_=fn_al_tt_1,2023-03-13 17:10:36.972848,2023-03-14 07:16:34.589625,Das Superweib,1 hour 26 minutes,"March 7, 1996 ",,Comedy,Sönke Wortmann,Jürgen Egger|Hera Lind|Gundula Leni Ohngemach|Jürgen Egger|Hera Lind|Gundula Leni Ohngemach|Jürgen Egger|Hera Lind|Gundula Leni Ohngemach|Jürgen Egger|Hera Lind|Gundula Leni Ohngemach|Jürgen Egger|Hera Lind|Gundula Leni Ohngemach|Jürgen Egger|Hera Lind|Gundula Leni Ohngemach,,Veronica Ferres|Joachim Król|Richy Müller|Veronica Ferres|Joachim Król|Richy Müller|Veronica Ferres|Joachim Król|Richy Müller|Veronica Ferres|Joachim Król|Richy Müller
"301, 302 (1995)",https://www.imdb.com/title/tt0112257/?ref_=fn_al_tt_1,2023-03-13 17:10:39.236295,2023-03-14 07:16:41.217138,"301, 302",1 hour 40 minutes,"May 3, 1996 ",,Horror|Mystery|Thriller,Cheol-su Park,Suh-Goon Lee|Suh-Goon Lee|Suh-Goon Lee,,Pang Eun-jin|Sin-hye Hwang|Chu-Ryun Kim|Pang Eun-jin|Sin-hye Hwang|Chu-Ryun Kim|Pang Eun-jin|Sin-hye Hwang|Chu-Ryun Kim|Pang Eun-jin|Sin-hye Hwang|Chu-Ryun Kim
Dragonheart (1996),https://www.imdb.com/title/tt0116136/?ref_=fn_al_tt_1,2023-03-13 17:10:41.499268,2023-03-14 07:16:47.695083,DragonHeart,1 hour 43 minutes,"May 31, 1996 ",,Action|Adventure|Fantasy,Rob Cohen,Patrick Read Johnson|Charles Edward Pogue|Patrick Read Johnson|Charles Edward Pogue|Patrick Read Johnson|Charles Edward Pogue|Patrick Read Johnson|Charles Edward Pogue|Patrick Read Johnson|Charles Edward Pogue|Patrick Read Johnson|Charles Edward Pogue,,Dennis Quaid|Sean Connery|Dina Meyer|Dennis Quaid|Sean Connery|Dina Meyer|Dennis Quaid|Sean Connery|Dina Meyer|Dennis Quaid|Sean Connery|Dina Meyer
