name,url,create_time
"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)","https://www.imdb.com/title/tt0119256/?ref_=nv_sr_srsg_0",
Red Sorghum (Hong Gao Liang) (1987),"https://www.imdb.com/title/tt0093206/?ref_=nv_sr_srsg_0",
My Best Fiend (Mein liebster Feind) (1999),"https://www.imdb.com/title/tt0200849/?ref_=nv_sr_srsg_0",
"Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)","https://www.imdb.com/title/tt0179196/?ref_=nv_sr_srsg_0",
All About My Mother (Todo Sobre Mi Madre) (1999),"https://www.imdb.com/title/tt0185125/?ref_=nv_sr_srsg_0",
"Living Dead Girl, The (La Morte Vivante) (1982)","https://www.imdb.com/title/tt0084357/?ref_=nv_sr_srsg_0",
March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934),"https://www.imdb.com/title/tt0024852/?ref_=nv_sr_srsg_1",
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)","https://www.imdb.com/title/tt0162866/?ref_=nv_sr_srsg_0",
Play it to the Bone (1999),"https://www.imdb.com/title/tt0196857/?ref_=nv_sr_srsg_0",
"Terrorist, The (Malli) (1998)","https://www.imdb.com/title/tt0169302/?ref_=nv_sr_srsg_0",
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),,
Vampyros Lesbos (Las Vampiras) (1970),"https://www.imdb.com/title/tt0063756/?ref_=nv_sr_srsg_0",
"Not Love, Just Frenzy (Más que amor, frenesí) (1996)","https://www.imdb.com/title/tt0117131/?ref_=nv_sr_srsg_0",
Kestrel's Eye (Falkens öga) (1998),"https://www.imdb.com/title/tt0183065/?ref_=nv_sr_srsg_0",
Beloved/Friend (Amigo/Amado) (1999),"https://www.imdb.com/title/tt0185154/?ref_=nv_sr_srsg_0",
Any Number Can Win (Mélodie en sous-sol ) (1963),"https://www.imdb.com/title/tt0057344/?ref_=nv_sr_srsg_0",
"Fantastic Night, The (La Nuit Fantastique) (1949)","https://www.imdb.com/title/tt0041705/?ref_=nv_sr_srsg_0",
"Mirror, The (Zerkalo) (1975)","https://www.imdb.com/title/tt0072443/?ref_=nv_sr_srsg_0",
Autopsy (Macchie Solari) (1975),"https://www.imdb.com/title/tt0073327/?ref_=nv_sr_srsg_0",
Me Myself I (2000),"https://www.imdb.com/title/tt0183505/?ref_=nv_sr_srsg_0",
Black Tights (Les Collants Noirs) (1960),"https://www.imdb.com/title/tt0053726/?ref_=nv_sr_srsg_0",
"House of Exorcism, The (La Casa dell'esorcismo) (1974)","https://www.imdb.com/title/tt3420392/?ref_=nv_sr_srsg_2",
Those Who Love Me Can Take the Train (Ceux qui m'aiment prendront le train) (1998),"https://www.imdb.com/title/tt0118834/?ref_=nv_sr_srsg_0",
"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)","https://www.imdb.com/title/tt0069029/?ref_=nv_sr_srsg_0",
Hatchet For the Honeymoon (Rosso Segno Della Follia) (1969),"https://www.imdb.com/title/tt0064904/?ref_=nv_sr_srsg_0",
Shower (Xizhao) (1999),"https://www.imdb.com/title/tt0215369/?ref_=nv_sr_srsg_2",
Love and Death (1975),"https://www.imdb.com/title/tt0073312/?ref_=nv_sr_srsg_6",
And God Created Woman (Et Dieu&#8230;Créa la Femme) (1956),"https://www.imdb.com/title/tt0049189/?ref_=nv_sr_srsg_0",
I Can't Sleep (J'ai pas sommeil) (1994),"https://www.imdb.com/title/tt0110171/?ref_=nv_sr_srsg_0",
"Thieves (Voleurs, Les) (1996)","https://www.imdb.com/title/tt0118100/?ref_=nv_sr_srsg_0",
Curtis's Charm (1995),"https://www.imdb.com/title/tt0112759/?ref_=nv_sr_srsg_0",
"Children Are Watching us, The (Bambini ci guardano, I) (1942)","https://www.imdb.com/title/tt0034493/?ref_=nv_sr_srsg_0",
"Associate, The (L'Associe)(1982)","https://www.imdb.com/title/tt0083587",
Until the End of the World (Bis ans Ende der Welt) (1991),"https://www.imdb.com/title/tt0101458/?ref_=nv_sr_srsg_0",
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)","https://www.imdb.com/title/tt0103207/?ref_=nv_sr_srsg_0",
