id,genres,name,release_time,directors,writers,starts
56,Adventure|Children's|Fantasy,Kids of the Round Table (1995),"December 15, 1995 ",Robert Tinnell,David Sherman|Robert Tinnell|David Sherman|Robert Tinnell|David Sherman|Robert Tinnell|David Sherman|Robert Tinnell|David Sherman|Robert Tinnell|David Sherman|Robert Tinnell,Johnny Morina|Maggie Castle|Christopher Olscamp|Johnny Morina|Maggie Castle|Christopher Olscamp|Johnny Morina|Maggie Castle|Christopher Olscamp|Johnny Morina|Maggie Castle|Christopher Olscamp
57,Drama,Home for the Holidays (1995),3 November 1995 (USA),Jodie Foster,Chris Radant,Holly Hunter|Anne Bancroft|Robert Downey Jr.
58,Drama|Romance,"Postino, Il (The Postman) (1994)","December 19, 1994 ",Stefano Veneruso,,Luis Bacalov|Philippe Noiret|Anna Pavignano|Luis Bacalov|Philippe Noiret|Anna Pavignano|Luis Bacalov|Philippe Noiret|Anna Pavignano|Luis Bacalov|Philippe Noiret|Anna Pavignano
59,Drama|Mystery,"Confessional, The (Le Confessionnal) (1995)","August 16, 1996 ",Robert Lepage,Robert Lepage|Robert Lepage|Robert Lepage,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette
60,Adventure|Children's|Fantasy,"Indian in the Cupboard, The (1995)",14 July 1995 (USA),Frank Oz,Lynne Reid Banks,Hal Scardino|Litefoot|Lindsay Crouse
61,Drama|Thriller,Eye for an Eye (1996),12 January 1996 (USA),John Schlesinger,Erika Holzer|Amanda Silver,Sally Field|Kiefer Sutherland|Ed Harris
62,Drama,Mr. Holland's Opus (1995),19 January 1996 (USA),Stephen Herek,Patrick Sheane Duncan,Richard Dreyfuss|Glenne Headly|Jay Thomas
63,Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),12 January 1996 (USA),Paris Barclay,Shawn Wayans|Marlon Wayans,Shawn Wayans|Marlon Wayans|Keenen Ivory Wayans
64,Comedy|Romance,Two if by Sea (1996),"January 12, 1996 ",Bill Bennett,Denis Leary|Mike Armstrong|Ann Leary|Denis Leary|Mike Armstrong|Ann Leary|Denis Leary|Mike Armstrong|Ann Leary|Denis Leary|Mike Armstrong|Ann Leary|Denis Leary|Mike Armstrong|Ann Leary|Denis Leary|Mike Armstrong|Ann Leary,Sandra Bullock|Denis Leary|Stephen Dillane|Sandra Bullock|Denis Leary|Stephen Dillane|Sandra Bullock|Denis Leary|Stephen Dillane|Sandra Bullock|Denis Leary|Stephen Dillane
65,Comedy,Bio-Dome (1996),12 January 1996 (USA),Jason Bloom,Adam Leff|Mitchell Peck,Pauly Shore|Stephen Baldwin|William Atherton
66,Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),12 January 1996 (USA),Farhad Mann,Farhad Mann|Michael Miner,Patrick Bergin|Matt Frewer|Austin O'Brien
67,Drama,Two Bits (1995),"November 22, 1995 ",James Foley,Joseph Stefano|Joseph Stefano|Joseph Stefano,Al Pacino|Mary Elizabeth Mastrantonio|Jerry Barone|Al Pacino|Mary Elizabeth Mastrantonio|Jerry Barone|Al Pacino|Mary Elizabeth Mastrantonio|Jerry Barone|Al Pacino|Mary Elizabeth Mastrantonio|Jerry Barone
68,Comedy|Romance,French Twist (Gazon maudit) (1995),,,,
69,Comedy,Friday (1995),26 April 1995 (USA),F. Gary Gray,Ice Cube,Ice Cube|Chris Tucker|Nia Long
70,Action|Comedy|Crime|Horror|Thriller,From Dusk Till Dawn (1996),19 January 1996 (USA),Robert Rodriguez,Robert Kurtzman,Harvey Keitel|George Clooney|Juliette Lewis
71,Action,Fair Game (1995),3 November 1995 (USA),Andrew Sipes,Paula Gosling,William Baldwin|Cindy Crawford|Steven Berkoff
72,Comedy|Drama,Kicking and Screaming (1995),6 October 1995 (USA),Noah Baumbach,Noah Baumbach|Bo Berkman,Josh Hamilton|Eric Stoltz|Samuel Gould
73,Drama|Musical,"Misérables, Les (1995)","November 3, 1995 ",Claude Lelouch,Victor Hugo|Claude Lelouch|Victor Hugo|Claude Lelouch|Victor Hugo|Claude Lelouch|Victor Hugo|Claude Lelouch|Victor Hugo|Claude Lelouch|Victor Hugo|Claude Lelouch,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines
74,Drama|Romance,Bed of Roses (1996),26 January 1996 (USA),Michael Goldenberg,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon
75,Comedy|Drama,Big Bully (1996),26 January 1996 (USA),Steve Miner,Mark Steven Johnson,Rick Moranis|Tom Arnold|Julianne Phillips
76,Sci-Fi|Thriller,Screamers (1995),26 January 1996 (USA),Christian Duguay,Philip K. Dick|Dan O'Bannon,Peter Weller|Roy Dupuis|Jennifer Rubin
77,Documentary,Nico Icon (1995),16 November 1995 (USA),Susanne Ofteringer,Susanne Ofteringer,Nico|Tina Aumont|Christian Päffgen
78,Drama,"Crossing Guard, The (1995)",16 November 1995 (USA),Sean Penn,Sean Penn,Jack Nicholson|David Morse|Anjelica Huston
79,Drama|Thriller,"Juror, The (1996)",2 February 1996 (USA),Brian Gibson,George Dawes Green,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt
80,Drama,"White Balloon, The (Badkonake Sefid ) (1995)",1995 ,Jafar Panahi,Abbas Kiarostami|Jafar Panahi|Parviz Shahbazi|Abbas Kiarostami|Jafar Panahi|Parviz Shahbazi|Abbas Kiarostami|Jafar Panahi|Parviz Shahbazi|Abbas Kiarostami|Jafar Panahi|Parviz Shahbazi|Abbas Kiarostami|Jafar Panahi|Parviz Shahbazi|Abbas Kiarostami|Jafar Panahi|Parviz Shahbazi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy
81,Crime|Drama|Romance,Things to Do in Denver when You're Dead (1995),"December 1, 1995 ",Gary Fleder,Scott Rosenberg|Scott Rosenberg|Scott Rosenberg,Andy Garcia|Christopher Walken|Christopher Lloyd|Andy Garcia|Christopher Walken|Christopher Lloyd|Andy Garcia|Christopher Walken|Christopher Lloyd|Andy Garcia|Christopher Walken|Christopher Lloyd
82,Drama,Antonia's Line (Antonia) (1995),"February 2, 1996 ",Marleen Gorris,Marleen Gorris|Marleen Gorris|Marleen Gorris,Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop|Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop|Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop|Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop
83,Drama,Once Upon a Time... When We Were Colored (1995),26 January 1996 (USA),Tim Reid,Clifton L. Taulbert,Al Freeman Jr.|Phylicia Rashad|Leon
84,Comedy|Drama,Last Summer in the Hamptons (1995),"September 15, 1996 ",Henry Jaglom,Henry Jaglom|Victoria Foyt|Henry Jaglom|Victoria Foyt|Henry Jaglom|Victoria Foyt|Henry Jaglom|Victoria Foyt|Henry Jaglom|Victoria Foyt|Henry Jaglom|Victoria Foyt,Victoria Foyt|Viveca Lindfors|Jon Robin Baitz|Victoria Foyt|Viveca Lindfors|Jon Robin Baitz|Victoria Foyt|Viveca Lindfors|Jon Robin Baitz|Victoria Foyt|Viveca Lindfors|Jon Robin Baitz
85,Drama|Romance,Angels and Insects (1995),8 December 1995 (UK),Philip Haas,A.S. Byatt|Belinda Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit
86,Adventure|Drama,White Squall (1996),2 February 1996 (USA),Ridley Scott,Charles Gieg Jr.|Felix Sutton,Jeff Bridges|Caroline Goodall|John Savage
87,Children's|Comedy,Dunston Checks In (1996),12 January 1996 (USA),Ken Kwapis,John Hopkins|John Hopkins,Jason Alexander|Faye Dunaway|Eric Lloyd
88,Comedy,Black Sheep (1996),2 February 1996 (USA),Penelope Spheeris,Fred Wolf,Chris Farley|David Spade|Tim Matheson
89,Action|Thriller,Nick of Time (1995),22 November 1995 (USA),John Badham,Patrick Sheane Duncan,Johnny Depp|Christopher Walken|Courtney Chase
90,Drama,"Journey of August King, The (1995)","January 26, 1996 ",John Duigan,John Ehle|John Ehle|John Ehle,Jason Patric|Thandiwe Newton|Larry Drake|Jason Patric|Thandiwe Newton|Larry Drake|Jason Patric|Thandiwe Newton|Larry Drake|Jason Patric|Thandiwe Newton|Larry Drake
92,Drama|Thriller,Mary Reilly (1996),23 February 1996 (USA),Stephen Frears,Valerie Martin,Julia Roberts|John Malkovich|George Cole
93,Comedy|Romance,Vampire in Brooklyn (1995),27 October 1995 (USA),Wes Craven,Eddie Murphy|Vernon Lynch,Eddie Murphy|Angela Bassett|Allen Payne
94,Drama,Beautiful Girls (1996),9 February 1996 (USA),Ted Demme,Scott Rosenberg,Matt Dillon|Timothy Hutton|Noah Emmerich
95,Action|Thriller,Broken Arrow (1996),9 February 1996 (USA),John Woo,Graham Yost,John Travolta|Christian Slater|Samantha Mathis
96,Comedy,In the Bleak Midwinter (1995),1 December 1995 (UK),Kenneth Branagh,Kenneth Branagh,Michael Maloney|Richard Briers|Hetta Charnley
97,Drama,"Hate (Haine, La) (1995)","October 19, 2018 ",George Tillman Jr.,Audrey Wells|Angie Thomas|Audrey Wells|Angie Thomas|Audrey Wells|Angie Thomas|Audrey Wells|Angie Thomas|Audrey Wells|Angie Thomas|Audrey Wells|Angie Thomas,Amandla Stenberg|Regina Hall|Russell Hornsby|Amandla Stenberg|Regina Hall|Russell Hornsby|Amandla Stenberg|Regina Hall|Russell Hornsby|Amandla Stenberg|Regina Hall|Russell Hornsby
98,Action|Thriller,Shopping (1994),"February 9, 1996 ",Paul W.S. Anderson,Paul W.S. Anderson|Paul W.S. Anderson|Paul W.S. Anderson,Sadie Frost|Jude Law|Sean Pertwee|Sadie Frost|Jude Law|Sean Pertwee|Sadie Frost|Jude Law|Sean Pertwee|Sadie Frost|Jude Law|Sean Pertwee
99,Documentary,Heidi Fleiss: Hollywood Madam (1995),TV Movie 27 December 1995,Nick Broomfield,Nick Broomfield|Nina Xining Zuo|Madam Alex,Madam Alex|Nina Xining Zuo|Nick Broomfield
100,Drama|Thriller,City Hall (1996),16 February 1996 (USA),Harold Becker,Ken Lipper|Paul Schrader,Al Pacino|John Cusack|Bridget Fonda
101,Comedy,Bottle Rocket (1996),21 February 1996 (USA),Wes Anderson,Owen Wilson,Luke Wilson|Owen Wilson|Ned Dowd
102,Comedy,Mr. Wrong (1996),16 February 1996 (USA),Nick Castle,Chris Matheson|Kerry Ehrin,Ellen DeGeneres|Bill Pullman|Joan Cusack
103,Thriller,Unforgettable (1996),23 February 1996 (USA),John Dahl,Bill Geddie,Ray Liotta|Linda Fiorentino|Peter Coyote
104,Comedy,Happy Gilmore (1996),16 February 1996 (USA),Dennis Dugan,Tim Herlihy,Adam Sandler|Christopher McDonald|Julie Bowen
105,Drama|Romance,"Bridges of Madison County, The (1995)",2 June 1995 (USA),Clint Eastwood,Richard LaGravenese,Clint Eastwood|Meryl Streep|Annie Corley
106,Comedy|Drama,Nobody Loves Me (Keiner liebt mich) (1994),"January 12, 1995 ",Doris Dörrie,Doris Dörrie|Doris Dörrie|Doris Dörrie,Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au|Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au|Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au|Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au
107,Adventure|Children's|Comedy|Musical,Muppet Treasure Island (1996),16 February 1996 (USA),Brian Henson|David Lane,Robert Louis Stevenson|Jerry Juhl,Tim Curry|Billy Connolly|Jennifer Saunders
108,Documentary,Catwalk (1995),16 May 1996 (Australia),Robert Leacock,Christy Turlington|Azzedine Alaïa|Giorgio Armani,Giorgio Armani|Azzedine Alaïa|Christy Turlington
109,Comedy,Headless Body in Topless Bar (1995),"February 16, 1996 ",James Bruce,Peter Koper|Peter Koper|Peter Koper,Raymond J. Barry|Rustam Branaman|Jennifer MacDonald|Raymond J. Barry|Rustam Branaman|Jennifer MacDonald|Raymond J. Barry|Rustam Branaman|Jennifer MacDonald|Raymond J. Barry|Rustam Branaman|Jennifer MacDonald
110,Action|Drama|War,Braveheart (1995),24 May 1995 (USA),Mel Gibson,Randall Wallace,Mel Gibson|Sophie Marceau|Patrick McGoohan
111,Drama|Thriller,Taxi Driver (1976),9 February 1976 (USA),Martin Scorsese,Paul Schrader,Robert De Niro|Jodie Foster|Cybill Shepherd
112,Action|Adventure|Crime,Rumble in the Bronx (1995),"February 23, 1996 ",Stanley Tong,Edward Tang|Fibe Ma|Edward Tang|Fibe Ma|Edward Tang|Fibe Ma|Edward Tang|Fibe Ma|Edward Tang|Fibe Ma|Edward Tang|Fibe Ma,Jackie Chan|Anita Mui|Françoise Yip|Jackie Chan|Anita Mui|Françoise Yip|Jackie Chan|Anita Mui|Françoise Yip|Jackie Chan|Anita Mui|Françoise Yip
113,Drama|Mystery,Before and After (1996),23 February 1996 (USA),Barbet Schroeder,Rosellen Brown,Meryl Streep|Liam Neeson|Edward Furlong
114,Drama,Margaret's Museum (1995),"January 26, 1996 ",Mort Ransen,Sheldon Currie|Gerald Wexler|Mort Ransen|Sheldon Currie|Gerald Wexler|Mort Ransen|Sheldon Currie|Gerald Wexler|Mort Ransen|Sheldon Currie|Gerald Wexler|Mort Ransen|Sheldon Currie|Gerald Wexler|Mort Ransen|Sheldon Currie|Gerald Wexler|Mort Ransen,Helena Bonham Carter|Kate Nelligan|Clive Russell|Helena Bonham Carter|Kate Nelligan|Clive Russell|Helena Bonham Carter|Kate Nelligan|Clive Russell|Helena Bonham Carter|Kate Nelligan|Clive Russell
115,Comedy,Happiness Is in the Field (1995),"January 31, 1997 ",Étienne Chatiliez,Florence Quentin|Florence Quentin|Florence Quentin,Michel Serrault|Eddy Mitchell|Sabine Azéma|Michel Serrault|Eddy Mitchell|Sabine Azéma|Michel Serrault|Eddy Mitchell|Sabine Azéma|Michel Serrault|Eddy Mitchell|Sabine Azéma
116,Documentary,Anne Frank Remembered (1995),8 June 1995 (USA),Jon Blair,Jon Blair,Kenneth Branagh|Glenn Close|Janny Brandes-Brilslijper
117,Crime,"Young Poisoner's Handbook, The (1995)",15 September 1995 (UK),Benjamin Ross,Jeff Rawle,Hugh O'Conor|Antony Sher|Tobias Arnold
118,Comedy|Romance,If Lucy Fell (1996),8 March 1996 (USA),Eric Schaeffer,Eric Schaeffer|Tony Spiridakis,Sarah Jessica Parker|Eric Schaeffer|Ben Stiller
119,Comedy,"Steal Big, Steal Little (1995)",29 September 1995 (USA),Andrew Davis,Andrew Davis|Teresa Tucker-Davies,Andy Garcia|Alan Arkin|Rachel Ticotin
120,Drama,Race the Sun (1996),"March 22, 1996 ",Charles T. Kanganis,Barry Morrow|Barry Morrow|Barry Morrow,"Halle Berry|Jim Belushi|Bill Hunter|Halle Berry|Jim Belushi|Bill Hunter|Halle Berry|Jim Belushi|Bill Hunter|Halle Berry|Jim Belushi|Bill Hunter|Maroubra, Sydney, New South Wales, Australia|TriStar Pictures"
121,Drama,"Boys of St. Vincent, The (1993)","December 6, 1992 ",John N. Smith,Des Walsh|John N. Smith|Sam Grana|Des Walsh|John N. Smith|Sam Grana|Des Walsh|John N. Smith|Sam Grana|Des Walsh|John N. Smith|Sam Grana|Des Walsh|John N. Smith|Sam Grana|Des Walsh|John N. Smith|Sam Grana,Henry Czerny|Johnny Morina|Brian Dooley|Henry Czerny|Johnny Morina|Brian Dooley|Henry Czerny|Johnny Morina|Brian Dooley|Henry Czerny|Johnny Morina|Brian Dooley
122,Comedy|Romance,Boomerang (1992),1 July 1992 (USA),Reginald Hudlin,Barry W. Blaustein|David Sheffield,Eddie Murphy|Robin Givens|Halle Berry
123,Drama|Mystery|Romance,Chungking Express (1994),"March 8, 1996 ",Kar-Wai Wong,Kar-Wai Wong|Kar-Wai Wong|Kar-Wai Wong,Brigitte Lin|Takeshi Kaneshiro|Tony Leung Chiu-wai|Brigitte Lin|Takeshi Kaneshiro|Tony Leung Chiu-wai|Brigitte Lin|Takeshi Kaneshiro|Tony Leung Chiu-wai|Brigitte Lin|Takeshi Kaneshiro|Tony Leung Chiu-wai
124,Drama,"Star Maker, The (Uomo delle stelle, L') (1995)",,,,
125,Comedy,Flirting With Disaster (1996),"April 12, 1996 ",David O. Russell,David O. Russell|David O. Russell|David O. Russell,Ben Stiller|Patricia Arquette|Téa Leoni|Ben Stiller|Patricia Arquette|Téa Leoni|Ben Stiller|Patricia Arquette|Téa Leoni|Ben Stiller|Patricia Arquette|Téa Leoni
